Breed Image,Breed Name,Breed Group,Breed Description,Origin,Coat Pattern,Coat Length,Health Issues,Lifespan,Good With,Shedding Amount,Playfulness,Affection Level,Activity Level,Tendency to Vocalize,Exercise Needs,Good with Cats,Good with Dogs,Good with Children,Good with Families,Lifespan Min Years,Lifespan Up to + Years
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3xSVakUgDq6fPfiTt8b1FJ%2Ff667027bd7942f3154235720d3776c2b%2FMaine_Coon_cat_breed.jpg&w=1080&q=75,Maine Coon,Western Breeds,"Maine Coons are gentle giants with a loving, friendly, and sociable nature. They enjoy being in the middle of the action in your home and do well in families with children, dogs, and other cats. The Maine Coon is a water-loving cat and is the third most popular breed in the United States.",USA,"Variety of patterns, but not colorpoint",Longhair,Hypertrophic cardiomyopathy (HCM),12-15 years,"Children, Dogs, Cats, Families",Medium,Medium,High,Medium,High,Medium,1,1,1,1,12,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3Ks1FXaeWtNa8yHErHzQfA%2F592ee709464f16de0bae5d62f642142a%2Fbengal_cat__1_.jpg&w=1080&q=75,Bengal Cat,Exotic Breeds,"Often referred to as the ""Miniature Leopard"" of the domestic cats, the Bengal is a unique breed designed to resemble exotic wild cats such as Ocelots, Margays, and Clouded Leopards. Bengals are active, energetic, and playful kitties who have a lean and muscular body, broad head, relatively short ears, and a long neck.",USA,"Spotted, rosetted, marbled",Shorthair,Erythrocyte pyruvate kinase deficiency,10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3Ks1FXaeWtNa8yHErHzQfA%2F592ee709464f16de0bae5d62f642142a%2Fbengal_cat__1_.jpg&w=1080&q=75,Bengal Cat,Exotic Breeds,"Often referred to as the ""Miniature Leopard"" of the domestic cats, the Bengal is a unique breed designed to resemble exotic wild cats such as Ocelots, Margays, and Clouded Leopards. Bengals are active, energetic, and playful kitties who have a lean and muscular body, broad head, relatively short ears, and a long neck.",USA,"Spotted, rosetted, marbled",Shorthair,Progressive retinal atrophy,10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3Ks1FXaeWtNa8yHErHzQfA%2F592ee709464f16de0bae5d62f642142a%2Fbengal_cat__1_.jpg&w=1080&q=75,Bengal Cat,Exotic Breeds,"Often referred to as the ""Miniature Leopard"" of the domestic cats, the Bengal is a unique breed designed to resemble exotic wild cats such as Ocelots, Margays, and Clouded Leopards. Bengals are active, energetic, and playful kitties who have a lean and muscular body, broad head, relatively short ears, and a long neck.",USA,"Spotted, rosetted, marbled",Shorthair,Hypertrophic cardiomyopathy (HCM),10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3Ks1FXaeWtNa8yHErHzQfA%2F592ee709464f16de0bae5d62f642142a%2Fbengal_cat__1_.jpg&w=1080&q=75,Bengal Cat,Exotic Breeds,"Often referred to as the ""Miniature Leopard"" of the domestic cats, the Bengal is a unique breed designed to resemble exotic wild cats such as Ocelots, Margays, and Clouded Leopards. Bengals are active, energetic, and playful kitties who have a lean and muscular body, broad head, relatively short ears, and a long neck.",USA,"Spotted, rosetted, marbled",Longhair,Erythrocyte pyruvate kinase deficiency,10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3Ks1FXaeWtNa8yHErHzQfA%2F592ee709464f16de0bae5d62f642142a%2Fbengal_cat__1_.jpg&w=1080&q=75,Bengal Cat,Exotic Breeds,"Often referred to as the ""Miniature Leopard"" of the domestic cats, the Bengal is a unique breed designed to resemble exotic wild cats such as Ocelots, Margays, and Clouded Leopards. Bengals are active, energetic, and playful kitties who have a lean and muscular body, broad head, relatively short ears, and a long neck.",USA,"Spotted, rosetted, marbled",Longhair,Progressive retinal atrophy,10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F3Ks1FXaeWtNa8yHErHzQfA%2F592ee709464f16de0bae5d62f642142a%2Fbengal_cat__1_.jpg&w=1080&q=75,Bengal Cat,Exotic Breeds,"Often referred to as the ""Miniature Leopard"" of the domestic cats, the Bengal is a unique breed designed to resemble exotic wild cats such as Ocelots, Margays, and Clouded Leopards. Bengals are active, energetic, and playful kitties who have a lean and muscular body, broad head, relatively short ears, and a long neck.",USA,"Spotted, rosetted, marbled",Longhair,Hypertrophic cardiomyopathy (HCM),10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F76RBFAHJrPQvcKebVzjfGB%2Fd16ee03d384adc2f5fc04f6dc3659856%2FWirehair-Adobe.jpeg&w=1080&q=75,American Wirehair,Other Breeds,The American Wirehair is a highly affectionate and sweet-natured cat known for its even temperament. They make great family pets and tend to be chatty kitties who like to converse with everyone in the household.,USA,Variety of tabby patterns,Shorthair,No strongly associated genetic conditions,Up to 15+ years,"Families, children, some cats and dogs",Low,High,High,Medium,Low,Low,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F76RBFAHJrPQvcKebVzjfGB%2Fd16ee03d384adc2f5fc04f6dc3659856%2FWirehair-Adobe.jpeg&w=1080&q=75,American Wirehair,Other Breeds,The American Wirehair is a highly affectionate and sweet-natured cat known for its even temperament. They make great family pets and tend to be chatty kitties who like to converse with everyone in the household.,USA,Variety of tabby patterns,Shorthair,Generally healthy breed,Up to 15+ years,"Families, children, some cats and dogs",Low,High,High,Medium,Low,Low,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F26gvR2TSfqEKHVldbY2aMZ%2Fbbf98ad647ece39d8f7600c37a0db32f%2Fpersian_cat__1_.jpg&w=1080&q=75,Persian Cat,Persian Breeds,"Persians are one of the most popular breeds and easily recognizable by their fluffy longhaired coat, flat face, large cheeks, and expressive eyes. They like quiet time with their humans. While they prefer to lounge and rest, they are also known for their surprise bursts of playful activity.",Iran,"Variety of solid, colorpoint, tabby, tortoiseshell, and calico patterns",Longhair,Brachycephalic airway obstructive syndrome,15-20 years,"Children, Gentle Dogs, Cats, Families",Medium,Medium,High,Low,Low,Medium,1,1,1,1,15,20
